
우리나라기후평년값
[검색조건]
검색구분 : 일별평년값
, 지점명 : 전체
, 기간 : 1991~2020년 06월 25일~07월 25일
지점명,지점번호,일시,평균기온(°C),최고기온(°C),최저기온(°C),강수량(mm),습도(%),일조시간(hr),전운량(1/10),소형증발량(mm),현지기압(hPa),해면기압(hPa),평균풍속(m/sec)
속초,90,06-25,      20.9,      24.3,      17.9,       7.5,      80.3,       5.0,,,    1004.2,    1006.3,       2.0
철원,95,06-25,      21.7,      26.7,      17.5,       7.2,      76.1,       5.4,,,     988.2,    1005.9,       1.9
동두천,98,06-25,      22.3,      27.9,      18.0,       7.4,      73.1,       5.4,,,     993.1,    1005.8,       1.5
파주,99,06-25,      22.2,      27.6,      17.8,       6.8,      77.7,       6.1,,,    1002.5,    1006.0,       1.6
대관령,100,06-25,      16.9,      21.2,      13.2,       9.9,      84.2,       5.0,,,     916.5,    1006.7,       2.9
춘천,101,06-25,      22.9,      28.0,      18.5,       7.4,      74.3,       5.6,,,     997.4,    1006.1,       1.3
백령도,102,06-25,      20.1,      23.8,      17.4,       4.5,      82.7,       5.9,       6.5,,     989.9,    1005.4,       4.3
강릉,105,06-25,      22.2,      25.9,      18.9,       7.8,      72.1,       4.9,,,    1003.6,    1006.6,       1.9
동해,106,06-25,      20.8,      24.3,      18.0,       7.7,      80.3,       5.0,,,    1001.8,    1006.1,       1.9
서울,108,06-25,      23.3,      27.6,      19.7,       6.5,      70.2,       5.4,       6.6,       4.5,     996.2,    1006.0,       2.3
인천,112,06-25,      22.1,      26.0,      19.2,       5.4,      79.3,       6.3,       6.5,       4.4,     998.0,    1005.9,       2.5
원주,114,06-25,      22.9,      28.0,      18.6,       9.5,      71.7,       4.8,,,     989.1,    1006.1,       1.1
울릉도,115,06-25,      19.9,      22.9,      17.6,       9.4,      82.6,       4.9,       7.2,       3.8,     981.8,    1007.2,       3.3
수원,119,06-25,      22.9,      27.6,      19.2,       6.3,      75.2,       5.5,       6.6,       4.4,    1002.3,    1006.4,       1.9
영월,121,06-25,      21.8,      27.7,      17.2,       9.1,      74.4,       5.0,,,     978.9,    1006.1,       1.3
충주,127,06-25,      22.7,      27.8,      18.3,       8.1,      69.8,       5.4,,,     995.1,    1006.3,       1.6
서산,129,06-25,      22.0,      26.5,      18.4,       8.9,      80.0,       5.4,,,    1003.4,    1006.3,       2.4
울진,130,06-25,      20.5,      24.1,      17.5,       8.0,      82.4,       5.5,,,    1000.9,    1006.7,       2.6
청주,131,06-25,      23.5,      28.1,      19.6,       8.8,      69.5,       5.2,       6.9,       4.4,     999.6,    1006.2,       1.8
대전,133,06-25,      23.2,      27.7,      19.3,      11.6,      75.4,       5.3,       6.9,       3.8,     998.4,    1006.3,       1.9
추풍령,135,06-25,      21.6,      26.5,      17.5,       8.6,      75.0,       4.6,,,     978.7,    1006.4,       1.9
안동,136,06-25,      22.3,      27.6,      18.0,       8.6,      74.1,       5.1,       7.1,       4.3,     990.6,    1006.7,       1.5
상주,137,06-25,      22.9,      28.2,      18.6,       7.8,      72.7,       5.1,,,     995.2,    1006.3,       1.2
포항,138,06-25,      22.8,      26.3,      19.9,       8.8,      77.0,       5.2,       7.1,       4.2,    1006.7,    1007.2,       2.4
군산,140,06-25,      22.4,      26.3,      19.4,       9.0,      83.2,       5.0,,,    1003.3,    1006.3,       2.9
울산,152,06-25,      22.3,      26.4,      19.0,      10.5,      77.9,       4.4,       7.2,,    1002.2,    1007.0,       1.9
창원,155,06-25,      22.4,      26.1,      19.5,      12.3,      78.9,       4.1,       7.2,,    1004.2,    1006.8,       2.0
광주,156,06-25,      23.2,      27.6,      19.9,       9.4,      77.1,       4.0,       7.5,,     998.0,    1006.3,       2.2
부산,159,06-25,      21.6,      24.7,      19.3,      11.2,      81.3,       4.6,       7.3,       3.3,     999.0,    1007.0,       3.4
통영,162,06-25,      21.6,      24.8,      19.1,      10.7,      83.7,       4.3,,,    1003.6,    1007.3,       2.3
목포,165,06-25,      22.3,      25.9,      19.7,       8.8,      83.7,       4.4,       7.5,       3.5,    1001.7,    1006.5,       3.1
여수,168,06-25,      21.7,      24.5,      19.8,      12.6,      82.4,       4.3,       7.4,       3.8,     999.2,    1006.9,       3.6
흑산도,169,06-25,      20.2,      23.4,      17.8,      10.5,      91.5,       3.7,       7.7,,     997.0,    1006.1,       4.1
완도,170,06-25,      21.9,      25.4,      19.3,      13.0,      83.7,       4.0,,,    1003.1,    1006.6,       3.1
고창,172,06-25,      23.1,      27.8,      19.5,       5.5,      84.4,       4.8,,,    1000.5,    1006.5,       2.7
제주,184,06-25,      22.9,      25.8,      20.5,       8.1,      80.8,       4.1,       7.8,       3.7,    1004.1,    1006.6,       2.9
고산,185,06-25,      21.7,      24.3,      19.8,       7.6,      89.3,       3.5,,,     998.0,    1006.3,       4.6
성산,188,06-25,      21.9,      24.6,      19.4,       9.9,      86.1,       3.4,,,    1004.9,    1007.0,       2.7
서귀포,189,06-25,      22.6,      25.1,      20.5,      11.8,      85.5,       3.1,       8.2,       2.6,    1000.7,    1006.6,       2.4
진주,192,06-25,      22.4,      27.0,      18.7,      11.2,      78.1,       4.2,,,    1003.8,    1006.8,       1.4
강화,201,06-25,      21.4,      25.8,      17.8,       5.6,      77.9,       6.0,,,    1001.2,    1006.5,       2.0
양평,202,06-25,      22.9,      28.2,      18.4,       7.5,      73.2,       5.8,,,    1001.3,    1006.9,       1.3
이천,203,06-25,      22.5,      27.7,      18.1,       7.3,      71.6,       5.8,,,     997.4,    1006.1,       1.3
인제,211,06-25,      21.1,      26.8,      16.7,       7.5,      73.3,       5.4,,,     983.8,    1006.6,       1.9
홍천,212,06-25,      22.3,      28.3,      17.5,       7.2,      70.6,       5.7,,,     990.5,    1006.6,       1.2
태백,216,06-25,      18.8,      23.8,      14.7,       9.9,      75.8,       5.0,,,     926.9,    1006.1,       1.6
정선군,217,06-25,      21.1,      27.3,      17.0,      11.1,      74.2,       4.4,,,     972.0,    1006.7,       1.5
제천,221,06-25,      21.4,      26.8,      16.9,       8.5,      72.1,       5.7,,,     977.0,    1006.6,       1.5
보은,226,06-25,      21.7,      26.8,      17.3,      10.7,      73.3,       5.4,,,     986.3,    1006.0,       1.3
천안,232,06-25,      22.4,      27.5,      18.1,       7.7,      73.7,       5.8,,,    1002.4,    1006.3,       1.7
보령,235,06-25,      21.9,      26.0,      18.6,       8.4,      80.1,       5.8,,,    1004.3,    1006.4,       1.9
부여,236,06-25,      22.7,      27.8,      18.7,       9.9,      76.1,       5.4,,,    1005.0,    1006.6,       1.3
금산,238,06-25,      22.2,      27.6,      17.7,      11.0,      73.1,       5.2,,,     987.0,    1006.4,       1.2
부안,243,06-25,      22.4,      26.8,      19.0,       7.6,      79.0,       5.1,,,    1005.4,    1006.5,       1.7
